ticket_id,created_at,priority,text,label
TKT25070300000,2025-07-03T21:53,P2,"Outlook is not syncing, mailbox appears offline. urgent",email_issue
TKT25072000001,2025-07-20T14:15,P2,"Laptop will not boot, blinking power light and no display. after update",hardware_fault
TKT25060600002,2025-06-06T13:37,P3,Request access to shared folder and group membership update.,access_request
TKT25061300003,2025-06-13T23:35,P2,"User cannot log in, password expired and account locked. please help",password_reset
TKT25072000004,2025-07-20T07:07,P2,"Unable to send email, SMTP authentication failed. impacting multiple users",email_issue
TKT25071200005,2025-07-12T21:42,P4,"User cannot log in, password expired and account locked. after update",password_reset
TKT25062200006,2025-06-22T23:14,P3,"Outlook is not syncing, mailbox appears offline.",email_issue
TKT25082800007,2025-08-28T05:10,P2,New starter needs access to finance application and mailbox.,access_request
TKT25082600008,2025-08-26T13:57,P2,"Keyboard keys not responding, trackpad intermittent. during shift change",hardware_fault
TKT25072300009,2025-07-23T04:34,P3,New starter needs access to finance application and mailbox. since this morning,access_request
TKT25072900010,2025-07-29T05:47,P4,"UI freezes on save, error trace appears in logs. ASAP",software_bug
TKT25070200011,2025-07-02T05:31,P4,"UI freezes on save, error trace appears in logs.",software_bug
TKT25061200012,2025-06-12T15:22,P3,"Unable to send email, SMTP authentication failed. urgent",email_issue
TKT25062600013,2025-06-26T00:07,P2,"Emails are delayed, users report messages stuck in outbox. during shift change",email_issue
TKT25080100014,2025-08-01T10:40,P3,Device overheating and shutting down under load. after update,hardware_fault
TKT25060200015,2025-06-02T02:03,P4,VPN connection drops repeatedly after connecting. impacting multiple users,vpn_issue
TKT25072500016,2025-07-25T21:11,P3,"Unable to authenticate to VPN, error code 691 appears. after update",vpn_issue
TKT25080600017,2025-08-06T13:56,P3,"Multiple failed attempts, please unlock and reset credentials.",password_reset
TKT25070600018,2025-07-06T21:47,P2,"Feature not working after update, regression suspected.",software_bug
TKT25061000019,2025-06-10T21:26,P3,Request access to shared folder and group membership update. impacting multiple users,access_request
TKT25072600020,2025-07-26T05:40,P2,"Multiple failed attempts, please unlock and reset credentials. ASAP",password_reset
TKT25072500021,2025-07-25T04:55,P3,"Unable to authenticate to VPN, error code 691 appears. single user",vpn_issue
TKT25071400022,2025-07-14T13:04,P2,"Request to reset password, user failed MFA and is locked out.",password_reset
TKT25080200023,2025-08-02T06:50,P3,"Request to reset password, user failed MFA and is locked out.",password_reset
TKT25062700024,2025-06-27T19:52,P3,"Remote access not working, tunnel fails during handshake. urgent",vpn_issue
TKT25062100025,2025-06-21T01:13,P3,"Request to reset password, user failed MFA and is locked out. please help",password_reset
TKT25081300026,2025-08-13T15:35,P4,Device overheating and shutting down under load. impacting multiple users,hardware_fault
TKT25081100027,2025-08-11T02:38,P3,"Remote access not working, tunnel fails during handshake. urgent",vpn_issue
TKT25082400028,2025-08-24T07:57,P4,"Remote access not working, tunnel fails during handshake.",vpn_issue
TKT25070100029,2025-07-01T09:30,P3,"WiFi is down in building, SSID not visible. ASAP",network_outage
TKT25072900030,2025-07-29T18:25,P4,Packet loss and high latency reported across region.,network_outage
TKT25080700031,2025-08-07T12:18,P3,"Multiple failed attempts, please unlock and reset credentials. after update",password_reset
TKT25080600032,2025-08-06T21:38,P2,"Remote access not working, tunnel fails during handshake. after update",vpn_issue
TKT25061400033,2025-06-14T03:44,P4,"User cannot log in, password expired and account locked. during shift change",password_reset
TKT25060200034,2025-06-02T22:13,P4,Packet loss and high latency reported across region.,network_outage
TKT25081800035,2025-08-18T10:57,P4,"Suspicious login detected from unknown location, please investigate. please help",security_alert
TKT25063000036,2025-06-30T08:08,P3,"Unable to authenticate to VPN, error code 691 appears. impacting multiple users",vpn_issue
TKT25071200037,2025-07-12T05:37,P3,Application crashes when exporting report to PDF.,software_bug
TKT25061200038,2025-06-12T18:26,P2,"WiFi is down in building, SSID not visible.",network_outage
TKT25080900039,2025-08-09T20:14,P2,"Keyboard keys not responding, trackpad intermittent.",hardware_fault
TKT25063000040,2025-06-30T08:07,P3,"Multiple failed attempts, please unlock and reset credentials.",password_reset
TKT25062500041,2025-06-25T22:08,P4,Request access to shared folder and group membership update.,access_request
TKT25072600042,2025-07-26T03:03,P3,Device overheating and shutting down under load. ASAP,hardware_fault
TKT25062300043,2025-06-23T06:56,P3,Device overheating and shutting down under load. during shift change,hardware_fault
TKT25061900044,2025-06-19T05:35,P3,"UI freezes on save, error trace appears in logs.",software_bug
